Key,Value,Element,Group,Description,Count
building,sty,area,,"A sty (pigsty, pig ark, pig-shed) is a building for raising domestic pigs, usually found on farms.",1 0 755 0
building,grandstand,area,sports_building,"The main stand, usually roofed, commanding the best view for spectators at racecourses or sports grounds.",1 0 479 0
building,pavilion,area,sports_building,"A sports pavilion usually with changing rooms, storage areas and possibly an space for functions & events. Avoid using this term for other structures called pavilions by architects (see Wikipedia-16px Pavilion)",5 0 638 0
building,riding_hall,area,sports_building,A building that was built as a riding hall.,1 0 608 0
building,sports_hall,area,sports_building,A building that was built as a sports hall.,3 0 1597 0
building,stadium,area,sports_building,"A building constructed to be a stadium building, including buildings that are abandoned and used nowadays for a different purpose.",0 0 164 0
building,hangar,area,aeroways,"A hangar is a building used for the storage of airplanes, helicopters or space-craft. Consider adding aeroway=hangar, when appropriate.",35 0 2396 0
building,hut,area,,"A hut is a small and crude shelter. Note that this word has two meanings - it may be synonym of building=shed, it may be a residential building of low quality.",320 0 61991 0
building,shed,area,,"A shed is a simple, single-storey structure in a back garden or on an allotment that is used for storage, hobbies, or as a workshop.",219 3 164390 0
building,carport,area,,"A carport is a covered structure used to offer limited protection to vehicles, primarily cars, from the elements. Unlike most structures a carport does not have four walls, and usually has one or two.",5 0 13803 0
building,garage,area,,"A garage is a building suitable for the storage of one or possibly more motor vehicle or similar. See building=garages for larger shared buildings. For an aircraft garage, see building=hangar.",173 10 1599727 1
building,garages,area,,A building that consists of a number of discrete storage spaces for different owners/tenants. See also building=garage.,46 4 222913 0
building,parking,area,,Structure purpose-built for parking cars.,0 0 1862 0
building,digester,area,,A digester is a bioreactor for the production of inflatable biogas from biomass.,1 0 1488 0
building,service,area,,Service building usually is a small unmanned building with certain machinery (like pumps or transformers).,99 0 16109 0
building,transformer_tower,area,,A transformer tower is a characteristic tall building comprising a distribution transformer and constructed to connect directly to a medium voltage overhead power line. Quite often the power line has since been undergrounded but the building may still serve as a substation. If the building is still in use as a substation it should additionally be tagged as power=substation + substation=minor_distribution.,832 0 12496 0
building,water_tower,area,,A water tower,1 0 64 0
building,military,area,military,A military building. Also use military=*.,0 0 107 0
building,bunker,area,military,A hardened military building. Also use military=bunker.,577 0 1700 0
building,bridge,area,,A building used as a bridge. To map a gatehouse use building=gatehouse. See also bridge=yes for highway=*. *Don't use this tag just for marking bridges (their outlines). For such purposes use man_made=bridge*.,5 2 322 0
building,construction,area,,Used for buildings under construction. Use construction=* to hold the value for the completed building.,195 3 10172 0
building,container,area,,"For a container used as a permanent building. *Do not map containers placed temporarily, for example used in shipping or construction.*",12 0 1118 0
building,tent,area,,For a permanently placed tent. *Do not map tents placed temporarily.*,13 0 227 0
building,gatehouse,area,,"An entry control point building, spanning over a highway that enters a city or compound.",0 0 28 0
building,roof,area,,"A structure that consists of a roof with open sides, such as a rain shelter, and also gas stations",78 9 91756 0
building,ruins,area,,"Frequently used for a house or other building that is abandoned and in poor repair. However, some believe this usage is incorrect, and the tag should only be used for buildings constructed as fake ruins (for example sham ruins in an English landscape garden). See also lifecycle tagging.",82 1 4795 0
building,tree_house,area,,"An accommodation, often designed as a small hut, sometimes also as a room or small apartment. Built on tree posts or on a natural tree. A tree house has no contact with the ground. Access via ladders, stairs or bridgeways.",0 0 16 0
building,yes,area,building_yes,Use this value where it is not possible to determine a more specific value.,10328 151 25067776 0
building,user defined,node area,,"/All commonly used values according to Taginfo/, generally /building types/",0 0 0 0
height,number,node area,,The height of the building in meters.,0 0 0 0
building:flats,number,node area,,"The number of residential units (flats, apartments) in an apartment building (building=apartments), residential building (building=residential), house (building=house), detached house (building=detached) or similar building.",0 0 0 0
building:levels,number,node area,,The number of visible levels (floors) in the building as used in the Simple 3D buildings scheme,0 0 0 0
building:max_level,number,area,,maximum indoor level (floors) in the building as used in the Simple Indoor Tagging scheme,0 0 0 0
building:min_level,number,area,,minimum indoor level (floors) in the building as used in the Simple Indoor Tagging scheme,0 0 0 0
non_existent_levels,number,area,,list of indoor levels (floors) that do not exists in the building as used in the Simple Indoor Tagging scheme,0 0 0 0
start_date,date,node area,,The (approximated) date when the building was finished.,0 0 0 0
craft,agricultural_engines,node area,,A place where engines and tools for agricultural use are planned and constructed.,0 0 0 0
craft,atelier,node area,,A place where visual artists work,0 0 0 0
craft,bakery,node area,,A workplace for fresh bakery goods. No shop.,0 0 0 0
craft,basket_maker,node area,,A person weaving baskets,0 0 0 0
craft,beekeeper,node area,,The workplace of a beekeeper (apiarist).,0 0 0 0
craft,blacksmith,node area,,"A place where a blacksmith forges tools, horseshoes, etc. from iron.",0 0 0 0
craft,boatbuilder,node area,,A workplace where boats are planned and constructed,0 0 0 0
craft,bookbinder,node area,,A workplace for physically assembling a book from a number of sheets of paper.,0 0 0 0
craft,brewery,node area,,A dedicated building for the making of beer.,0 0 0 0
craft,builder,node area,,A workplace or office of a tradesman who performs structural alterations and additions to buildings.,0 0 0 0
craft,cabinet_maker,node area,,A person who makes fine wooden furniture,0 0 0 0
craft,car_painter,node area,,A place specializing in painting cars.,0 0 0 0
craft,carpenter,node area,,"A workplace or office of carpenters that work with timber to construct, install and maintain buildings, furniture, and other objects.",0 0 0 0
craft,carpet_layer,node area,,A carpet layer is a tradesmen who specializes in laying carpets,0 0 0 0
craft,caterer,node area,,"A workplace or office of one who prepares customized meals for takeout, or provides prepared meals or supplies to a group at social gatherings",0 0 0 0
craft,chimney_sweeper,node area,,A workplace or office of a person who cleans chimneys for a living.,0 0 0 0
craft,cleaning,node area,,"Workplace or office of a person who cleaning building, industrial facilities or windows.",0 0 0 0
craft,clockmaker,node area,,"A workplace or office of a clockmaker that is building, repairing or engraving clocks of all sorts.",0 0 0 0
craft,confectionery,node area,,"A place where the set of food items that are rich in sugar, any one or type of which is called a confection is produced.",0 0 0 0
craft,cooper,node area,,A person or company that manufacture of containers and vessels mainly made of wood.,0 0 0 0
craft,dental_technician,node area,,A workplace for dental technician who constructs custom-made restorative and dental appliances,0 0 0 0
craft,distillery,node area,,"An establishment for distilling, especially for distilling alcoholic liquors.",0 0 0 0
craft,door_construction,node area,,A workplace of someone constructing doors,0 0 0 0
craft,dressmaker,node area,,"Dressmaker is a person who makes custom clothing for women, such as dresses, blouses, and evening gowns.",0 0 0 0
craft,electronics_repair,node area,,"Repair shops and service centers which provides repair of computers, phones, appliance etc.",0 0 0 0
craft,embroiderer,node area,,Needlework or textile artist,0 0 0 0
craft,electrician,node area,,A person or company that works with electricity or electrical systems.,0 0 0 0
craft,engraver,node area,,A workplace or office of an engraver.,0 0 0 0
craft,floorer,node area,,A workplace or office of a floorer.,0 0 0 0
craft,gardener,node area,,A workplace or office of a garden designer or a landscape gardener.,0 0 0 0
craft,glaziery,node area,,"A place where residential, commercial, and artistic glass is selected, cut, installed, replaced, and removed",0 0 0 0
craft,goldsmith,node area,,"The workplace of a person who forges things out of gold, especially jewelry.",0 0 0 0
craft,grinding_mill,node area,,"A device that breaks solid materials into smaller pieces by grinding, crushing, or cutting. The aftermath is powdered product, not liquid extract like oil mill.",0 0 0 0
craft,handicraft,node area,,A place where useful and decorative devices are made completely by hand or using only simple tools,0 0 0 0
craft,hvac,node area,,"A workplace or office of an HVAC system designer (Heating, Ventilating, and Air Conditioning)",0 0 0 0
craft,insulation,node area,,A workplace or office of a person who does thermal insulation in buildings.,0 0 0 0
craft,interior_work,node area,,"Workplace or office of a person who build non-load-bearing interior walls, especially drywall.",0 0 0 0
craft,jeweller,node area,,"A place where necklaces, rings, brooches, earrings and bracelets and other personal adornments are created or repaired.",0 0 0 0
craft,joiner,node area,,"An artisan who builds things by joining pieces of wood, particularly furniture or ornamental work.",0 0 0 0
craft,key_cutter,node area,,A place where keys can be duplicated from originals.,0 0 0 0
craft,locksmith,node area,,A place where locks and keys are created or repaired.,0 0 0 0
craft,metal_construction,node area,,"Workplace or office of a person who work with metal. This applies to: planning, construction, trade, repair.",0 0 0 0
craft,mint,node area,,A place where coins and medals are hand crafted.,0 0 0 0
craft,musical_instrument,node area,,A craftsman creating musical instruments,0 0 0 0
craft,oil_mill,node area,,"A mill designed to crush or bruise oil-bearing seeds, such as linseed or peanuts, or other oil-rich vegetable material.",0 0 0 0
craft,optician,node area,,"A place where lenses for the correction of a person's vision are designed, fitted and dispensed.",0 0 0 0
craft,organ_builder,node area,,"Organ building is the profession of designing, building, restoring and maintaining pipe organs.",0 0 0 0
craft,painter,node area,,A workplace or office of a house painter which is a tradesman responsible for the painting and decorating of buildings.,0 0 0 0
craft,parquet_layer,node area,,A workplace or office of a parquet layer.,0 0 0 0
craft,paver,node area,,The workshop or office of a paver,0 0 0 0
craft,photographer,node area,,A workplace or office of a person who takes photographs using a camera.,0 0 0 0
craft,photographic_laboratory,node area,,"A place where photos taken on a film or digital images are transformed into a more permanent form, often on paper or plastic foil.",0 0 0 0
craft,piano_tuner,node area,,"A piano tuner or technician. A professional that tunes, regulates and makes the maintenance of pianos. Most of them repair simple problems and some restore a whole piano.",0 0 0 0
craft,plasterer,node area,,"A workplace or office of a tradesman who works with plaster, such as forming a layer of plaster on an interior wall or plaster decorative moldings on ceilings or walls.",0 0 0 0
craft,plumber,node area,,"A workplace or office of a skilled tradesperson who specializes in (drinking) water supply, sewage and drainage systems",0 0 0 0
craft,pottery,node area,,"A place where earthenware, stoneware and porcelain and other ceramic ware is made by potters.",0 0 0 0
craft,printer,node area,,"A small printing business which produces published works such as newspapers, books, magazines, etc.",0 0 0 0
craft,printmaker,node area,,A producer of fine art prints.,0 0 0 0
craft,rigger,node area,,"The workplace of a person who makes masts, yards, sails, and cordage for sailboats and sailing ships (or possibly a person who works on ropes, booms, lifts, hoists and the like for a stage production)",0 0 0 0
craft,roofer,node area,,A workplace or office of a tradesman who is specialized in roof covering and sealing.,0 0 0 0
craft,saddler,node area,,A place where saddles or accessories for cars and boats are produced or repaired.,0 0 0 0
craft,sailmaker,node area,,"A workshop of a sailmaker who cleans, repairs and makes sails.",0 0 0 0
craft,sawmill,node area,,A sawmill is a facility where logs are cut into timber,0 0 0 0
craft,scaffolder,node area,,A workplace or office of a tradesman who builds temporary structure used to support people and material in the construction or repair of buildings and other large structures.,0 0 0 0
craft,sculptor,node area,,The workplace of a sculptor.,0 0 0 0
craft,shoemaker,node area,,"A place where shoes, boots, sandals, clogs and moccasins are created, repaired or altered to fit personal needs.",0 0 0 0
craft,signmaker,node area,,Signmaker,0 0 0 0
craft,stand_builder,node area,,A workplace of a company that builds stands/booths for fairs.,0 0 0 0
craft,stonemason,node area,,A place where rough pieces of rock are shaped into accurate geometrical shapes.,0 0 0 0
craft,stove_fitter,node area,,A workplace/office of a person / company who designs and builds stoves / tiled stoves.,0 0 0 0
craft,sun_protection,node area,,"A place where sun protection is made, repaired, or delivered for assembly, especially awnings and shutters.",0 0 0 0
craft,tailor,node area,,"A place where clothing is made, repaired, or altered professionally, especially suits and men's clothing.",0 0 0 0
craft,tiler,node area,,"A workplace or office of a person who lays tiles on floors, swimming pools and such.",0 0 0 0
craft,tinsmith,node area,,"A person who makes and repairs things made of light-coloured metal, particularly tinware.",0 0 0 0
craft,toolmaker,node area,,"A workplace of a company that builds complex tools, machine tools, moulds, gauges,... .",0 0 0 0
craft,turner,node area,,A workplace or office of a turner.,0 0 0 0
craft,upholsterer,node area,,"A place where furniture, especially seats are provided with padding, springs, webbing, and fabric or leather covers.",0 0 0 0
craft,watchmaker,node area,,A watchmaker is an artisan who makes and repairs watches. Today due to industrial production they mostly repair watches.,0 0 0 0
craft,water_well_drilling,node area,,A company that drills water wells.,0 0 0 0
craft,window_construction,node area,,A workplace of someone constructing windows,0 0 0 0
craft,winery,node area,,A place where wine is produced,0 0 0 0
emergency,ambulance_station,node area,,"A ambulance station is a structure or other area set aside for storage of ambulance vehicles, medical equipment, personal protective equipment, and other medical supplies.",0 0 0 0
emergency,defibrillator,node,,"Defibrillator, an external and portable electronic device that diagnoses and can correct arrhythmia of the heart automatically (aka Automated External Defibrillator, AED)",0 0 0 0
emergency,landing_site,node area,,Preselected flat area for a helicopter to land in an emergency situation,0 0 0 0
emergency,emergency_ward_entrance,node,,to mark the entrance to an emergency ward,0 0 0 0
emergency,dry_riser_inlet,node,,a point to which firefighters can connect a pressurized water source,0 0 0 0
emergency,fire_alarm_box,node,,A device used for notifying a fire department of a fire.,0 0 0 0
emergency,fire_extinguisher,node,,"A fire extinguisher is an active fire protection device used to extinguish or control small fires, often in emergency situations.",0 0 0 0
emergency,fire_hose,node,,A high-pressure hose used to carry water or other fire retardant (such as foam) to a fire to extinguish it.,0 0 0 0
emergency,fire_hydrant,node,,"An active fire protection measure, and a source of water provided in most urban, suburban, and rural areas with municipal water service to enable fire fighters to tap into the municipal water supply to assist in extinguishing a fire",0 0 0 0
emergency,water_tank,node area,,A large water basin or tank for a fire department to take water,0 0 0 0
emergency,suction_point,node,,A preferred point to pump water off a river or other waters for a fire department.,0 0 0 0
emergency,lifeguard,node area,,A place where a lifeguard is on duty,0 0 0 0
emergency,life_ring,node,,A floating ring to throw out to someone who is struggling in water.,0 0 0 0
emergency,assembly_point,node area,,A designated (safe) place where people can gather or must report to during an emergency or a fire drill,0 0 0 0
emergency,phone,node,,Emergency telephone,0 0 0 0
emergency,siren,node,,"A loud noise maker, such as an air raid siren or a tornado siren.",0 0 0 0
emergency,drinking_water,node,,A facility that provides drinking water in emergency situations,0 0 0 0
geological,moraine,node way area,,Any ice formed accumulation of unconsolidated glacial debris,0 0 0 0
geological,outcrop,node way area,,A place where the bedrock or superficial deposits previously covered under the soil have become locally exposed,0 0 0 0
geological,palaeontological_site,node area,,A palaeontological site.,0 0 0 0
geological,volcanic_caldera_rim,way,,Volcanic caldera rim,0 0 0 0
geological,volcanic_vent,node area,,Volcanic vent,0 0 0 0
geological,volcanic_lava_field,node area,,Volcanic lava field,0 0 0 0
highway,motorway,way,traffic_motorized,"A restricted access major divided highway, normally with 2 or more running lanes plus emergency hard shoulder. Equivalent to the Freeway, Autobahn, etc..",0 66054 0 66054
highway,trunk,way,traffic_motorized,The most important roads in a country's system that aren't motorways. (Need not necessarily be a divided highway.),0 31035 0 31035
highway,primary,way,traffic_motorized,The next most important roads in a country's system. (Often link larger towns.),1 203072 1 203072
highway,secondary,way,traffic_motorized,The next most important roads in a country's system. (Often link towns.),4 410182 3 410182
highway,tertiary,way,traffic_motorized,The next most important roads in a country's system. (Often link smaller towns and villages),1 372622 6 290
highway,unclassified,way,traffic_motorized,"The least important through roads in a country's system -- i.e. minor roads of a lower classification than tertiary, but which serve a purpose other than access to properties. (Often link villages and hamlets.)",4 365490 213 236
highway,residential,way,traffic_motorized,"Roads which serve as an access to housing, without function of connecting settlements. Often lined with housing.",10 1769082 1895 772
highway,motorway_link,way,traffic_motorized,The link roads (sliproads/ramps) leading to/from a motorway from/to a motorway or lower class highway. Normally with the same motorway restrictions.,0 40658 0 40658
highway,trunk_link,way,traffic_motorized,The link roads (sliproads/ramps) leading to/from a trunk road from/to a trunk road or lower class highway.,0 19799 0 19799
highway,primary_link,way,traffic_motorized,The link roads (sliproads/ramps) leading to/from a primary road from/to a primary road or lower class highway.,0 17731 0 17731
highway,secondary_link,way,traffic_motorized,The link roads (sliproads/ramps) leading to/from a secondary road from/to a secondary road or lower class highway.,0 11180 0 11180
highway,tertiary_link,way,traffic_motorized,The link roads (sliproads/ramps) leading to/from a tertiary road from/to a tertiary road or lower class highway.,0 5220 0 0
highway,living_street,way,traffic_motorized,"For living streets, which are residential streets where pedestrians have legal priority over cars, speeds are kept very low and where children are allowed to play on the street.",20 137645 562 30
highway,service,way area,traffic_motorized,"For access roads to, or within an industrial estate, camp site, business park, car park, alleys, etc. Can be used in conjunction with service=* to indicate the type of usage and with access=* to indicate who can use it and in what circumstances.",8 2777431 9010 1372
highway,pedestrian,way area,traffic_foot_cycle,For roads used mainly/exclusively for pedestrians in shopping and some residential areas which may allow access by motorised vehicles only for very limited periods of the day. To create a 'square' or 'plaza' create a closed way and tag as pedestrian and also with area=yes.,4 28739 15530 47
highway,track,way,traffic_foot_cycle,"Roads for mostly /agricultural or forestry uses/. To describe the quality of a track, see tracktype=*. Note: Although tracks are often rough with unpaved surfaces, this tag is not describing the quality of a road but its use. Consequently, if you want to tag a general use road, use one of the #Roads][general highway values instead of track.",31 2918495 935 3381
highway,bus_guideway,way,traffic_motorized,"A busway where the vehicle guided by the way (though not a railway) and is not suitable for other traffic. Please note: this is not a normal bus lane, use access=no, psv=yes instead!",0 16 0 1
highway,escape,way,traffic_motorized,"For runaway truck ramps, runaway truck lanes, emergency escape ramps, or truck arrester beds. It enables vehicles with braking failure to safely stop.",0 33 0 0
highway,raceway,way,traffic_motorized,A course or track for (motor) racing,5 1476 328 0
highway,road,way,traffic_motorized,"A road/way/street/motorway/etc. of *unknown* type. It can stand for anything ranging from a footpath to a motorway. This tag should only be used temporarily until the road/way/etc. has been properly surveyed. If you /do/ know the road type, do *not* use this value, instead use one of the more specific highway=* values.",33 1167 17 0
highway,busway,way,traffic_motorized,A dedicated roadway for bus rapid transit systems,0 0 0 0
highway,footway,way area,traffic_foot_cycle,"For designated footpaths- i.e., mainly/exclusively for pedestrians. This includes walking tracks and gravel paths. If bicycles are allowed as well, you can indicate this by adding a bicycle=yes tag. Should not be used for paths where the primary or intended usage is unknown. Use highway=pedestrian for pedestrianised roads in shopping or residential areas and highway=track if it is usable by agricultural or similar vehicles.",32 1504380 7043 783
highway,bridleway,way,traffic_foot_cycle,"For horse riders. Pedestrians are usually also permitted, cyclists may be permitted depending on local rules/laws. Motor vehicles are forbidden.",1 6891 18 5
highway,steps,way,traffic_foot_cycle,For flights of steps (stairs) on footways. Use with step_count=* to indicate the number of steps,814 217437 266 12
highway,corridor,way,,For a hallway inside of a building.,0 2575 55 0
highway,path,way,traffic_foot_cycle,"A non-specific path. Use highway=footway for paths mainly for walkers, highway=cycleway for one also usable by cyclists, highway=bridleway for ones available to horse riders as well as walkers and highway=track for ones which is passable by agriculture or similar vehicles.",42 1238706 1096 6098
footway,sidewalk,way,,Sidewalk that runs typically along residential road. Use in combination with highway=footway or highway=path,0 0 0 0
footway,crossing,way,,"Crosswalk that connects two sidewalks on the opposite side of the road. Often recognized by painted markings on the road, road sign or traffic lights. Use in combination with highway=footway or highway=path. Useful information is presence of tactile_paving=*, wheelchair=* suitability and kerb=* represented as a node on the crosswalk way.",0 0 0 0
highway,cycleway,way,traffic_foot_cycle,"For designated cycleways. Add foot=*, though it may be avoided if default-access-restrictions do apply.",0 102272 18 2497
cycleway,lane,way,,A lane is a route that lies within the roadway,0 0 0 0
cycleway,opposite,way,,Used on ways with oneway=yes where it is legally permitted to cycle in both directions. Used together with oneway:bicycle=no.,0 0 0 0
cycleway,opposite_lane,way,,"Used on ways with oneway=yes that have a cycling lane going the opposite direction of normal traffic flow (a ""contraflow"" lane). Used together with oneway:bicycle=no.",0 0 0 0
cycleway,track,way,,"A track provides a route that is separated from traffic. In the United States, this term is often used to refer to bike lanes that are separated from lanes for cars by pavement buffers, bollards, parking lanes, and curbs. /Note/ that a cycle track may alternatively be drawn as a separate way next to the road which is tagged as highway=cycleway.",0 0 0 0
cycleway,opposite_track,way,,Used on ways with oneway=yes that have a cycling track going the opposite direction of normal traffic flow. Used together with oneway:bicycle=no.,0 0 0 0
cycleway,share_busway,way,,There is a bus lane that cyclists are permitted to use.,0 0 0 0
cycleway,opposite_share_busway,way,,"Used on ways with oneway=yes that have a bus lane that cyclists are also permitted to use, and which go in the opposite direction to normal traffic flow (a ""contraflow"" bus lane). Used together with oneway:bicycle=no.",0 0 0 0
cycleway,shared_lane,way,,"Cyclists share a lane with motor vehicles, but there are markings indicating that they should share the lane with motorists. In some places these markings are known as ""sharrows"" ('sharing arrows') and this is the tag to use for those.",0 0 0 0
busway,lane,way,,Bus lane on both sides of the road. (See also: Parallel scheme for bus/psv lane tagging lanes:bus=* / lanes:psv=*),0 0 0 0
highway,proposed,way,,"For planned roads, use with proposed=* and a value of the proposed highway value.",130 7392 22 43
highway,construction,way,,For roads under construction. Use construction=* to hold the value for the completed road.,103 8217 37 23
abutters,commercial industrial  mixed,way,,See Key:abutters for more details.,0 0 0 0
bicycle_road,yes,way,,"A bicycle road is a road designated for bicycles. If residential streets get the status of bicycle roads, normally, by special signs, motor traffic is admitted with limited speed, often only for residents.",0 0 0 0
destination,<place name of destination>,way,,Destination when following a linear feature,0 0 0 0
embedded_rails,yes <type of railway>,way,,#+begin_center,0 0 0 0
ford,yes,node way,,"The road crosses through stream or river, vehicles must enter any water.",0 0 0 0
ice_road,yes,way,,"A highway is laid upon frozen water basin, definitely doesn't exist in summer.",0 0 0 0
junction,roundabout,way closedway,,"This automatically implies oneway=yes, the oneway direction is defined by the sequential ordering of nodes within the Way. This applies on a way, tagged with highway=* already.",87 26558 46 13607
lanes,<number>,way,,"The number of traffic lanes for general purpose traffic, also for buses and other specific classes of vehicle.",0 0 0 0
lit,no,node way area,,Street lighting,7833 325866 7374 124187
lit,yes,node way area,,Street lighting,19791 934288 21371 149390
maxspeed,<number>,way,,"Specifies the maximum legal speed limit on a road, railway or waterway.",0 0 0 0
motorroad,yes no,way node,,#+begin_center,0 0 0 0
mountain_pass,yes,node,,The highest point of a mountain pass.,0 0 0 0
mtb:scale,0-6,way,,Applies to highway=path and highway=track. A classification scheme for mtb trails (few inclination and downhill).,0 0 0 0
mtb:scale:uphill,0-5,way,,A classification scheme for mtb trails for going uphill if there is significant inclination.,0 0 0 0
mtb:scale:imba,0-4,way,,The IMBA Trail Difficulty Rating System shall be used for bikeparks. It is adapted to mtb trails with artificial obstacles.,0 0 0 0
mtb:description,Text,way,,Applies to highway=path and highway=track. A key to input variable infos related to mtbiking on a way with human words,0 0 0 0
overtaking,yes no caution backward,way,,Specifying sections of roads where overtaking is legally forbidden. Use overtaking:forward=yes/no/caution and overtaking:backward=yes/no/caution when it depends on driving direction.,0 0 0 0
parking:condition,free ticket disc private,way,,Specifying the parking conditions (terms). See parking:condition=* for more details.,0 0 0 0
parking:lane,parallel diagonal perpendicular no_stopping fire_lane,way,,Specifying the parking space. See parking:lane=* for more details.,0 0 0 0
passing_places,yes,way,,A way which has frequent passing places (See also: highway=passing_place),0 0 0 0
sac_scale,hiking mountain_hiking demanding_mountain_hiking difficult_alpine_hiking,way,,Applies to highway=path and highway=footway. A classification scheme for hiking trails.,0 0 0 0
smoothness,excellent good intermediate horrible very_horrible impassable,way,,See Key:smoothness for more details.,0 0 0 0
tactile_paving,yes no,node way area,,#+begin_center,0 0 0 0
tracktype,grade1 grade2 grade3,way,,To describe the quality of the surface. See Key:tracktype for more information.,0 0 0 0
traffic_calming,bump hump table yes etc.,node way,,See Key:traffic calming for more details.,0 0 0 0
trail_visibility,excellent good intermediate no,way,,"Applies to highway=path, highway=footway, highway=cycleway and highway=bridleway. A classification for hiking trails visibility",0 0 0 0
trailblazed,yes no poles,way,,Applies to highway=*. Describing trail blazing and marking. See Key:trailblazed for more information.,0 0 0 0
trailblazed:visibility,excellent good intermediate no,way,,Applies to trailblazed=*. A classification for visibility of trailblazing. See Key:trailblazed:visibility for more information.,0 0 0 0
turn,left slight_left through merge_to_left merge_to_right reverse,way,,The key turn can be used to specify the direction in which a way or a lane will lead.,0 0 0 0
width,<number>,way,,The width of a feature.,0 0 0 0
winter_road,yes,way,,"A highway functions during winter, probably can't be driven in summer.",0 0 0 0
highway,bus_stop,node,,A small bus stop. Optionally one may also use public_transport=stop_position for the position where the vehicle stops and public_transport=platform for the place where passengers wait.,330756 757 638 13
highway,crossing,node,,"A.k.a. crosswalk. Pedestrians can cross a street here- e.g., zebra crossing",210547 18 2 0
highway,elevator,node way,,"An elevator or lift, used to travel vertically, providing passenger and freight access between pathways at different floor levels.",5085 522 320 3
highway,emergency_bay,node way,,An area beside a highway where you can safely stop your car in case of breakdown or emergency.,645 40 5 0
highway,emergency_access_point,node,,Sign number which can be used to define your current position in case of an emergency. Use with ref=/NUMBER_ON_THE_SIGN/,30372 0 1 0
highway,give_way,node,,"A ""give way,"" or ""Yield"" sign",55156 1 0 0
emergency,phone,node,,A calling device can be used to tell on your current position in case of an emergency. Use with ref=/NUMBER_ON_THE_SIGN/,0 0 0 0
highway,milestone,node,,Highway location marker,9811 0 0 0
highway,mini_roundabout,node,,"Similar to roundabouts, but at the center there is either a painted circle or a fully traversable island. In case of an untraversable center island, junction=roundabout should be used.",3137 1 0 0
highway,motorway_junction,node,,"Indicates a junction (UK) or exit (US). ref=* should be set to the exit number or junction identifier. (Some roads -- e.g., the A14 -- also carry junction numbers, so the tag may be encountered elsewhere despite its name)",9245 0 0 0
highway,passing_place,node,,The location of a passing space,8618 17 10 0
highway,platform,node way area,,A platform at a bus stop or station.,3222 11461 4550 503
highway,rest_area,node area,,"Place where drivers can leave the road to rest, but not refuel.",674 1146 678 0
highway,speed_camera,node,,A fixed road-side or overhead speed camera.,4729 0 0 0
highway,street_lamp,node,,"A street light, lamppost, street lamp, light standard, or lamp standard is a raised source of light on the edge of a road, which is turned on or lit at a certain time every night",412565 3 0 0
highway,services,node area,,"A service station to get food and eat something, often found at motorways",150 336 293 0
highway,stop,node,,A stop sign,14698 0 0 0
highway,traffic_mirror,node,,Mirror that reflects the traffic on one road when direct view is blocked.,2353 0 0 0
highway,traffic_signals,node,,Lights that control the traffic,112798 3 0 0
highway,trailhead,node,,Designated place to start on a trail or route,5 0 0 0
highway,turning_circle,node,,"A turning circle is a rounded, widened area usually, but not necessarily, at the end of a road to facilitate easier turning of a vehicle. Also known as a /cul de sac/.",172156 4 3 0
highway,turning_loop,node,,"A widened area of a highway with a non-traversable island for turning around, often circular and at the end of a road.",4557 2 0 0
highway,toll_gantry,node,,"A toll gantry is a gantry suspended over a way, usually a motorway, as part of a system of electronic toll collection. For a toll booth with any kind of barrier or booth see: barrier=toll_booth",19 2 0 0
highway,User Defined,node way,,/All commonly used values/ according to Taginfo,0 0 0 0
historic,aircraft,node area,historic_site,A decommissioned aircraft which generally remains in one place.,182 0 93 0
historic,aqueduct,way area,historic_site,A historic structure to convey water,9 22 4 0
historic,archaeological_site,node way area,historic_site,A place in which evidence of past activity is preserved.,7946 161 1654 0
historic,battlefield,node area,historic_site,The site of a battle or military skirmish in the past.,138 2 31 0
historic,bomb_crater,node area,,A bomb crater,559 3 776 0
historic,boundary_stone,node,,A historic physical marker that identifies a boundary,21234 1 6 0
historic,building,node area,historic_site,Unspecified historic building.,336 1 7176 0
historic,cannon,node,,A historic/retired cannon. Usually found on forts or battlefields.,92 0 0 0
historic,castle,node area,historic_site,"Used for various kinds of castles, palaces, fortresses, manors, stately homes, kremlins, shiros and other.",1492 25 4045 0
historic,castle_wall,way area,historic_site,A fortification surrounding the bailey of a castle,2 66 11 0
historic,charcoal_pile,node area,historic_site,Historic site of a charcoal pile. Often still in good condition in hilly forest areas.,33801 1 0 0
historic,church,node area,historic_site,A church with a historical value.,55 1 457 0
historic,city_gate,node area,historic_site,A city gate within a city wall,176 14 538 0
historic,citywalls,way area,,A citywall is a fortification used to defend a city.,22 1704 307 0
historic,farm,node area,historic_site,"A historical farm, kept in its original state.",21 0 287 0
historic,fort,node area,historic_site,"A military fort, a stand-alone defensive structure which differs from a castle in that there is no permanent residence",19 3 44 0
historic,gallows,node relation,,remains of a gallows,15 0 0 0
historic,highwater_mark,node,,A marker for indicating past flood,46 0 0 0
historic,locomotive,node area,,A decommissioned locomotive which generally remains in one place,151 1 18 1
historic,manor,node area,historic_site,Historic manors/mansions having different use today,69 1 756 0
historic,memorial,node area,historic_site,"Small memorials, usually remembering special persons, people who lost their lives in the wars, past events or missing places.",54607 37 1359 2
historic,milestone,node,,A historic marker that shows the distance to important destinations,2906 0 1 0
historic,monastery,node area,,Building/place that is a historically significant monastery.,74 5 258 0
