Key,Value,Element,Group,Description,Count
amenity,parking_entrance,node,,An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags type=site and site=parking. Do *not* mix with amenity=parking.,14967 135 71 0
amenity,parking_space,node area,,A single parking space. Group multiple parking spaces together with a relation using the tags type=site and site=parking. Do *not* mix with amenity=parking.,2205 7 61897 0
amenity,taxi,node area,,A place where taxis wait for passengers.,4019 3 429 0
amenity,atm,node,,ATM or cash point: a device that provides the clients of a financial institution with access to financial transactions.,11579 1 78 0
amenity,bank,node area,,"Bank or credit union: a financial establishment where customers can deposit and withdraw money, take loans, make investments and transfer funds.",19362 0 5271 0
amenity,bureau_de_change,node,,"Bureau de change, money changer, currency exchange, Wechsel, cambio -- a place to change foreign bank notes and travellers cheques.",128 0 10 0
amenity,baby_hatch,node area,,"A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted.",67 0 1 0
amenity,clinic,node area,,A medium-sized medical facility or health centre.,504 0 667 0
amenity,dentist,node area,,A dentist practice / surgery.,10634 0 1135 0
amenity,doctors,node area,,A doctor's practice / surgery.,23766 1 2663 0
amenity,hospital,node area,medical_building,A hospital providing in-patient medical treatment. Often used in conjunction with emergency=* to note whether the medical centre has emergency facilities (A&E (brit.) or ER (am.)),435 1 2185 0
amenity,nursing_home,node area,medical_building,Discouraged tag for a home for disabled or elderly persons who need permanent care. Use amenity=social_facility + social_facility=nursing_home now.,474 0 1772 0
amenity,pharmacy,node area,,Pharmacy: a shop where a pharmacist sells medications\\,17404 0 1517 0
amenity,social_facility,node area,,"A facility that provides social services: group & nursing homes, workshops for the disabled, homeless shelters, etc.",6733 0 9813 0
amenity,veterinary,node area,,"A place where a veterinary surgeon, also known as a veterinarian or vet, practices.",3244 0 911 0
amenity,arts_centre,node area,,A venue where a variety of arts are performed or conducted,1098 0 935 0
amenity,brothel,node area,,An establishment specifically dedicated to prostitution,754 0 424 0
amenity,casino,node area,,"A gambling venue with at least one table game(e.g. roulette, blackjack) that takes bets on sporting and other events at agreed upon odds.",847 0 210 0
amenity,cinema,node area,,A place where films are shown (US: movie theater),1047 0 434 0
amenity,community_centre,node area,public_building,"A place mostly used for local events, festivities and group activities- including special interest and special age groups. .",3719 0 8171 0
amenity,conference_centre,node area,,A large building that is used to hold a convention,33 0 63 0
amenity,events_venue,node area,,A building specifically used for organising events,312 0 246 0
amenity,fountain,node area,amenity,A fountain for cultural / decorational / recreational purposes.,17000 7 2787 0
amenity,gambling,node area,,"A place for gambling, not being a shop=bookmaker, shop=lottery, amenity=casino, or leisure=adult_gaming_centre.",540 0 113 0
amenity,love_hotel,node area,,A love hotel is a type of short-stay hotel operated primarily for the purpose of allowing guests privacy for sexual activities.,5 0 3 0
amenity,nightclub,node area,,"A place to drink and dance (nightclub). The German word is ""Disco"" or ""Discothek"". Please don't confuse this with the German ""Nachtclub"" which is most likely amenity=stripclub.",1562 0 489 0
amenity,planetarium,node area,,A planetarium.,15 0 27 0
amenity,public_bookcase,node area,,A street furniture containing books. Take one or leave one.,1746 0 27 0
amenity,social_centre,node area,,A place for free and not-for-profit activities.,138 0 110 0
amenity,stripclub,node,,A place that offers striptease or lapdancing (for sexual services use /amenity=brothel)/.,68 0 12 0
amenity,studio,node area,,TV radio or recording studio,420 0 148 0
amenity,swingerclub,node area,,A club where people meet to have a party and group sex.,150 0 46 0
amenity,theatre,node area,public_building,"A theatre or opera house where live performances occur, such as plays, musicals and formal concerts. Use amenity=cinema for movie theaters.",1609 1 1168 0
amenity,courthouse,node area,public_building,"A building home to a court of law, where justice is dispensed",445 1 779 0
amenity,embassy,node area,,"An embassy, consulate or diplomatic office. Also see office=diplomatic 14px-Diplomatic",29 0 44 0
amenity,fire_station,node area,,A station of a fire brigade,9555 1 15868 0
amenity,police,node area,,A police station where police officers patrol from and that is a first point of contact for civilians,2049 2 1640 0
amenity,post_box,node,,A box for the reception of mail. Alternative mail-carriers can be tagged via operator=*,71905 0 9 0
amenity,post_depot,node area,,"Post depot or delivery office, where letters and parcels are collected and sorted prior to delivery.",27 0 355 0
amenity,post_office,node area,,Post office building with postal services,9899 0 698 0
amenity,prison,node area,,A prison or jail where people are incarcerated before trial or after conviction,35 1 289 0
amenity,ranger_station,node area,,"National Park visitor headquarters: official park visitor facility with police, visitor information, permit services, etc",5 0 16 0
amenity,townhall,node area,public_building,"Building where the administration of a village, town or city may be located, or just a community meeting place",2676 0 5305 0
amenity,bbq,node,amenity,"*BBQ* or *Barbecue* is a permanently built grill for cooking food, which is most typically used outdoors by the public. For example these may be found in city parks or at beaches. Use the tag fuel=* to specify the source of heating, such as fuel=wood-electric-charcoal. For mapping nearby table and chairs, see also the tag tourism=picnic_site. For mapping *campfires* and *firepits*, instead use the tag leisure=firepit.",3739 0 425 0
amenity,bench,node,amenity,A bench to sit down and relax a bit,459730 2237 607 1
amenity,dog_toilet,node area,,Area designated for dogs to urinate and excrete.,3 0 1 0
amenity,drinking_water,node,amenity,"*Drinking water* is a place where humans can obtain potable water for consumption. Typically, the water is used for only drinking. Also known as a *drinking fountain* or *bubbler*.",5483 0 29 0
amenity,give_box,node area,,A small facility where people drop off and pick up various types of items in the sense of free sharing and reuse.,44 0 3 0
amenity,shelter,node area,amenity,A small shelter against bad weather conditions. To additionally describe the kind of shelter use shelter_type=*.,30373 39 27120 0
amenity,shower,node area,,Public shower or bath.,1583 0 159 0
amenity,telephone,node,,Public telephone,19807 1 4 0
amenity,toilets,node area,amenity,Public toilets (might require a fee),17438 0 4534 0
amenity,water_point,node,,Place where you can get large amounts of drinking water,470 0 8 0
amenity,watering_place,node,,Place where water is contained and animals can drink,786 3 28 0
amenity,sanitary_dump_station,node area,,A place for depositing human waste from a toilet holding tank.,723 0 21 0
amenity,recycling,node area,,"Recycling facilities (bottle banks, etc.). Combine with recycling_type=container for containers or recycling_type=centre for recycling centres.",71829 1 3899 0
